rank,name,mbid,listeners,playcount,url
129,David Bowie,5441c29d-3602-4898-b1a1-b77fa23b8e50,5397722,386429200,https://www.last.fm/music/David+Bowie
130,The 1975,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,2526057,280538587,https://www.last.fm/music/The+1975
131,Muse,9c9f1380-2516-4fc9-a3e6-f9f61941d090,6188113,553061899,https://www.last.fm/music/Muse
132,Foo Fighters,67f66c07-6e61-4026-ade5-7e782fad3a5d,6190471,351856758,https://www.last.fm/music/Foo+Fighters
133,Gunna,100b8734-f4f0-4536-9960-47f7c59d1b4c,1699696,163611246,https://www.last.fm/music/Gunna
134,Limp Bizkit,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,3948389,164231662,https://www.last.fm/music/Limp+Bizkit
135,Ed Sheeran,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,4032044,244329483,https://www.last.fm/music/Ed+Sheeran
136,Juice WRLD,4e4ebde4-0c56-4dec-844b-6c73adcdd92d,2345431,484843737,https://www.last.fm/music/Juice+WRLD
137,One Direction,1a425bbd-cca4-4b2c-aeb7-71cb176c828a,3108644,297090796,https://www.last.fm/music/One+Direction
138,Magdalena Bay,68c261d5-48c8-4ea9-9466-9fc908dc79bb,1304007,96529245,https://www.last.fm/music/Magdalena+Bay
139,Tory Lanez,5b8ec72b-9e39-4a06-a2bf-964166b92a71,1837749,131528785,https://www.last.fm/music/Tory+Lanez
140,Oasis,39ab1aed-75e0-4140-bd47-540276886b60,5688532,309426984,https://www.last.fm/music/Oasis
141,Nelly Furtado,13655113-cd16-4b43-9dca-cadbbf26ee05,4634036,109935781,https://www.last.fm/music/Nelly+Furtado
142,Madonna,79239441-bfd5-4981-a70c-55c3f15c1287,5368310,342631576,https://www.last.fm/music/Madonna
143,Beach House,d5cc67b8-1cc4-453b-96e8-44487acdebea,3349624,229877509,https://www.last.fm/music/Beach+House
144,Faye Webster,ce4a1c08-6912-423f-bf6c-97ce69f5e89f,1669366,121610657,https://www.last.fm/music/Faye+Webster
145,bôa,ca1dcba2-792c-4550-abf2-7b45396e81ca,1917984,73075800,https://www.last.fm/music/b%C3%B4a
146,Malcolm Todd,6c2a79b8-2b5c-4c2d-b495-6a446811bf9d,898093,45798262,https://www.last.fm/music/Malcolm+Todd
147,Pitbull,d262ea27-3ffe-40f7-b922-85c42d625e67,4175525,98047947,https://www.last.fm/music/Pitbull
148,Trippie Redd,8032cf05-d916-4b2a-9c53-6e75d4a24bd8,1766135,174328149,https://www.last.fm/music/Trippie+Redd
149,Mazzy Star,c48d4327-8122-4286-af66-05e1ee6ac4d8,2552833,99463771,https://www.last.fm/music/Mazzy+Star
150,Demi Lovato,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,3202825,187633882,https://www.last.fm/music/Demi+Lovato
151,Chase Atlantic,ecab255c-3af3-4154-87ec-2685041ce297,1723208,179761176,https://www.last.fm/music/Chase+Atlantic
152,Selena Gomez,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,3026110,194412432,https://www.last.fm/music/Selena+Gomez
153,The Kid LAROI,80609a00-b394-4a49-975b-2db6b543fa97,2334181,144851117,https://www.last.fm/music/The+Kid+LAROI
154,Halsey,3377f3bb-60fc-4403-aea9-7e800612e060,2645358,208762001,https://www.last.fm/music/Halsey
155,Young Thug,800760de-bdf8-43a2-8fe0-44a2401a5515,1784618,178042937,https://www.last.fm/music/Young+Thug
156,Ken Carson,84d4283e-903a-42c4-a0d2-d3949bfa1f3f,1081000,252849047,https://www.last.fm/music/Ken+Carson
157,Chris Brown,c234fa42-e6a6-443e-937e-2f4b073538a3,4608638,147689889,https://www.last.fm/music/Chris+Brown
158,Elton John,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,5033072,155191774,https://www.last.fm/music/Elton+John
159,Cocteau Twins,000fc734-b7e1-4a01-92d1-f544261b43f5,2141531,151654963,https://www.last.fm/music/Cocteau+Twins
160,Doechii,9f75277c-b283-4846-ac8c-f932255cd0ac,1851688,83788988,https://www.last.fm/music/Doechii
161,Evanescence,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,4277721,205982697,https://www.last.fm/music/Evanescence
162,Lil Tecca,e6fdf3f9-8077-4126-b0cf-94da9a8b627e,1667638,145082876,https://www.last.fm/music/Lil+Tecca
163,Bring Me the Horizon,074e3847-f67f-49f9-81f1-8c8cea147e8e,2699120,301657498,https://www.last.fm/music/Bring+Me+the+Horizon
164,Blood Orange,e43daa78-3cf3-4cf9-bc27-af4d4e675a02,1827369,92648446,https://www.last.fm/music/Blood+Orange
165,Zara Larsson,134e6410-6954-45d1-bd4a-0f2d2ad5471d,1825520,59362985,https://www.last.fm/music/Zara+Larsson
166,Shakira,bf24ca37-25f4-4e34-9aec-460b94364cfc,4652988,169015276,https://www.last.fm/music/Shakira
167,The Police,9e0e2b01-41db-4008-bd8b-988977d6019a,4328760,102865632,https://www.last.fm/music/The+Police
168,Lily Allen,6e0c7c0e-cba5-4c2c-a652-38f71ef5785d,3613154,121141060,https://www.last.fm/music/Lily+Allen
169,Ravyn Lenae,94c64122-dbd4-4927-b2fa-f204b0b4b0c2,1456266,37743562,https://www.last.fm/music/Ravyn+Lenae
170,Big Thief,9f81247f-7f57-42f3-a8ba-75bef554e591,1540559,109125231,https://www.last.fm/music/Big+Thief
171,BLACKPINK,48646387-1664-4c9a-9139-9bfd091b823c,1851090,291938300,https://www.last.fm/music/BLACKPINK
172,Imagine Dragons,012151a8-0f9a-44c9-997f-ebd68b5389f9,3915144,240976237,https://www.last.fm/music/Imagine+Dragons
173,aespa,b51c672b-85e0-48fe-8648-470a2422229f,1219202,243999554,https://www.last.fm/music/aespa
174,Avril Lavigne,0103c1cc-4a09-4a5d-a344-56ad99a77193,4951477,256753002,https://www.last.fm/music/Avril+Lavigne
175,5 Seconds of Summer,830e5c4e-6b7d-431d-86ab-00c751281dc5,2129164,186041636,https://www.last.fm/music/5+Seconds+of+Summer
176,50 Cent,8e68819d-71be-4e7d-b41d-f1df81b01d3f,4722333,110491590,https://www.last.fm/music/50+Cent
177,Slowdive,a16371b9-7d36-497a-a9d4-42b0a0440c5e,2062025,135550020,https://www.last.fm/music/Slowdive
178,Baby Keem,81d12ca7-5b89-4d21-8736-860b7400b4eb,1897505,181488485,https://www.last.fm/music/Baby+Keem
179,Alice in Chains,4bd95eea-b9f6-4d70-a36c-cfea77431553,3307447,203343842,https://www.last.fm/music/Alice+in+Chains
180,Men I Trust,25ab7547-a4d2-480b-b028-c7f3497bc858,2046228,115952083,https://www.last.fm/music/Men+I+Trust
181,OutKast,73fdb566-a9b1-494c-9f32-51768ec9fd27,4790287,140343756,https://www.last.fm/music/OutKast
182,Korn,ac865b2e-bba8-4f5a-8756-dd40d5e39f46,3275615,234829841,https://www.last.fm/music/Korn
183,Jennie,d32de3a1-01f0-430e-859a-72307724041c,1344032,92953981,https://www.last.fm/music/Jennie
184,Three Days Grace,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,3721312,173093761,https://www.last.fm/music/Three+Days+Grace
185,MGMT,c485632c-b784-4ee9-8ea1-c5fb365681fc,5090411,211411163,https://www.last.fm/music/MGMT
186,Dominic Fike,e337c918-098f-418e-97a2-81dc224b1bf9,2163418,130064343,https://www.last.fm/music/Dominic+Fike
187,EsDeeKid,3d253cbd-fb66-4752-a8d1-f9b0db75bcea,347572,20075780,https://www.last.fm/music/EsDeeKid
188,Madison Beer,749ef494-8518-4b49-b685-63d8e728d25c,1503256,87696675,https://www.last.fm/music/Madison+Beer
189,Lizzy McAlpine,ee0b11de-0c8a-4267-9886-198f4579e1db,1285223,93895704,https://www.last.fm/music/Lizzy+McAlpine
190,Cage the Elephant,b41b38d4-ef3e-4f37-8c75-cfe9af999696,3258452,138660817,https://www.last.fm/music/Cage+the+Elephant
191,Noah Kahan,a2a3f910-b188-43e7-81d0-f1ac2a2f3e12,1455015,151227587,https://www.last.fm/music/Noah+Kahan
192,Grimes,7e5a2a59-6d9f-4a17-b7c2-e1eedb7bd222,2531268,187189279,https://www.last.fm/music/Grimes
193,Troye Sivan,e5712ceb-c37a-4c49-a11c-ccf4e21852d4,2321510,159787785,https://www.last.fm/music/Troye+Sivan
194,DJ Snake,aa114151-4a17-42b0-8e20-37b434627479,2394673,43902488,https://www.last.fm/music/DJ+Snake
195,Björk,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,3322177,244207696,https://www.last.fm/music/Bj%C3%B6rk
196,Lil Yachty,a668565b-41b8-44a8-9d5c-8e609dbf69fc,1723147,123659629,https://www.last.fm/music/Lil+Yachty
197,Tears for Fears,7c7f9c94-dee8-4903-892b-6cf44652e2de,3738321,84018884,https://www.last.fm/music/Tears+for+Fears
198,Sufjan Stevens,01d3c51b-9b98-418a-8d8e-37f6fab59d8c,3733070,285073484,https://www.last.fm/music/Sufjan+Stevens
199,Miguel,285e1285-aecc-478f-a8da-0c8cf69e1217,2551204,71525659,https://www.last.fm/music/Miguel
200,The Rolling Stones,b071f9fa-14b0-4217-8e97-eb41da73f598,5677631,264875774,https://www.last.fm/music/The+Rolling+Stones
201,Chief Keef,9118f524-be76-4eaf-875c-ccf15e2a2ad6,1631769,127941951,https://www.last.fm/music/Chief+Keef
202,girl in red,4ae429fe-735c-4968-8253-a591421b1bd0,2343599,107795277,https://www.last.fm/music/girl+in+red
203,Usher,3414d446-735a-443c-931f-10634f57e5b9,4826337,96777454,https://www.last.fm/music/Usher
204,Pixies,b6b2bb8d-54a9-491f-9607-7b546023b433,4133628,208023304,https://www.last.fm/music/Pixies
205,The Cardigans,3e55d51d-687f-4a9d-af96-2fabccf802e5,3465310,84656451,https://www.last.fm/music/The+Cardigans
206,Djo,83cedfd0-a118-48eb-ad71-72f4c2f95fd2,1934421,67757340,https://www.last.fm/music/Djo
207,Kodak Black,5ec1ecc6-4535-4911-a27a-e26343f4a189,1694480,96436441,https://www.last.fm/music/Kodak+Black
208,Lil Baby,d42a5768-ada1-4fb6-85fd-f61aba6264e0,1517477,153741407,https://www.last.fm/music/Lil+Baby
209,$uicideboy$,ef326b3d-61f0-4379-aca0-21237d696d63,1498677,429916769,https://www.last.fm/music/$uicideboy$
210,The Goo Goo Dolls,e2c00c56-8365-4160-9f40-a64682917633,2439547,47442621,https://www.last.fm/music/The+Goo+Goo+Dolls
211,ILLIT,6b128dd7-e998-4edb-a4f5-400fef190445,956285,64470767,https://www.last.fm/music/ILLIT
